Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
JINDALSTEL,EQ,2017-06-15,122.4,121.8,127.35,121.3,125.85,125.6,124.65,10640828,1326400882.95,47349,2218675,20.85,6,2017,117.44143136715702,0.02614379084967311,Slight or No change
JINDALSTEL,EQ,2017-06-16,125.6,126.4,127.15,123.9,124.0,124.5,125.44,8227650,1032077670.5,32214,2488956,30.25,6,2017,117.67229290967404,-0.00875796178343946,Slight or No change
JINDALSTEL,EQ,2017-06-19,124.5,125.05,128.75,123.5,127.15,127.1,126.77,10354191,1312564157.55,40575,2019851,19.51,6,2017,118.04499679720921,0.02088353413654609,Slight or No change
JINDALSTEL,EQ,2017-06-20,127.1,127.5,127.8,125.4,126.35,126.2,126.5,5015100,634393726.8,18934,665936,13.28,6,2017,118.19821423193454,-0.007081038552320895,Slight or No change
JINDALSTEL,EQ,2017-06-21,126.2,125.75,126.2,123.9,124.65,124.65,124.96,5041417,629983022.95,17132,684789,13.58,6,2017,118.31780870282275,-0.01228209191759111,Slight or No change
JINDALSTEL,EQ,2017-06-22,124.65,125.4,126.55,120.35,121.8,121.7,124.41,5594348,695971907.25,19431,946999,16.93,6,2017,118.38597716811425,-0.023666265543521914,Slight or No change
JINDALSTEL,EQ,2017-06-23,121.7,122.5,122.8,116.75,118.75,118.45,119.05,7614299,906464599.95,26645,1553603,20.4,6,2017,118.38768658254988,-0.026705012325390354,Slight or No change
JINDALSTEL,EQ,2017-06-27,118.45,119.0,119.4,115.55,117.0,116.95,117.07,4143163,485051485.2,14631,627994,15.16,6,2017,118.3670985599385,-0.012663571127057849,Slight or No change
JINDALSTEL,EQ,2017-06-28,116.95,115.8,119.8,115.8,119.8,119.35,117.88,4730328,557600230.15,17831,832136,17.59,6,2017,118.38291018338958,0.02052159042325763,Slight or No change
JINDALSTEL,EQ,2017-06-29,119.35,119.9,123.6,119.8,123.2,122.75,121.66,6122296,744818319.4,25568,1137993,18.59,6,2017,118.47198036396932,0.028487641390867235,Slight or No change
JINDALSTEL,EQ,2017-06-30,122.75,123.0,124.25,121.05,123.1,123.2,122.66,6666973,817771608.35,24169,594014,8.91,6,2017,118.57470949099472,0.0036659877800406804,Slight or No change
JINDALSTEL,EQ,2017-07-03,123.2,123.45,129.1,122.8,128.75,128.7,127.13,10285845,1307595976.75,34617,2692849,26.18,7,2017,118.90311732783039,0.044642857142856984,Slight or No change
JINDALSTEL,EQ,2017-07-04,128.7,129.0,130.25,125.65,125.95,126.05,127.72,8060732,1029480439.2,32853,1516964,18.82,7,2017,119.08027348987707,-0.020590520590520578,Slight or No change
JINDALSTEL,EQ,2017-07-05,126.05,126.2,131.65,125.05,131.25,130.55,128.62,8975070,1154373765.8,35463,2702011,30.11,7,2017,119.38833121490822,0.03570011900039671,Slight or No change
JINDALSTEL,EQ,2017-07-06,130.55,131.9,132.85,130.25,130.9,131.45,131.59,7693411,1012343116.95,27923,1997490,25.96,7,2017,119.65977641831033,0.00689391037916498,Slight or No change
JINDALSTEL,EQ,2017-07-07,131.45,131.0,136.4,130.1,131.85,132.15,133.53,13693420,1828519050.8,50596,2683252,19.6,7,2017,120.14081648339295,0.0053252187143402185,Slight or No change
JINDALSTEL,EQ,2017-07-10,132.15,136.0,136.0,132.0,134.2,134.45,134.18,1971807,264572458.2,11769,579411,29.38,7,2017,120.21973456384264,0.017404464623533844,Slight or No change
JINDALSTEL,EQ,2017-07-11,134.45,134.95,139.8,131.2,138.9,138.85,136.68,17619564,2408223080.25,68792,2926905,16.61,7,2017,121.09475670199167,0.03272592041651179,Slight or No change
JINDALSTEL,EQ,2017-07-12,138.85,139.05,140.9,137.7,139.8,140.15,139.48,11195043,1561515214.35,48964,2272905,20.3,7,2017,121.64692876226046,0.00936262153402967,Slight or No change
JINDALSTEL,EQ,2017-07-13,140.15,141.95,142.05,137.1,138.2,138.45,139.54,8616248,1202278449.35,41192,1897926,22.03,7,2017,122.0135027347683,-0.012129860863360764,Slight or No change
JINDALSTEL,EQ,2017-07-14,138.45,138.5,139.0,136.2,137.2,137.3,137.44,4112013,565154149.8,20553,995043,24.2,7,2017,122.17101667293937,-0.008306247742867257,Slight or No change
JINDALSTEL,EQ,2017-07-17,137.3,138.0,142.0,136.8,141.4,141.6,140.23,7051772,988878338.8,32182,1764112,25.02,7,2017,122.50837977147239,0.031318281136198056,Slight or No change
JINDALSTEL,EQ,2017-07-18,141.6,140.85,142.9,138.9,139.9,140.3,141.04,7430269,1047945304.05,35864,873733,11.76,7,2017,122.82804491319983,-0.009180790960451879,Slight or No change
JINDALSTEL,EQ,2017-07-19,140.3,140.5,143.9,140.4,143.0,143.3,142.81,6706307,957708274.5,26027,1220489,18.2,7,2017,123.15473181924223,0.021382751247327247,Slight or No change
JINDALSTEL,EQ,2017-07-20,143.3,143.0,144.1,140.05,140.8,141.1,141.83,4477457,635041365.95,18392,701035,15.66,7,2017,123.34390857501351,-0.01535240753663658,Slight or No change
JINDALSTEL,EQ,2017-07-21,141.1,141.0,141.5,133.15,136.75,136.65,137.24,6711060,921054117.45,23539,1176029,17.52,7,2017,123.55088433939103,-0.031537916371367714,Slight or No change
JINDALSTEL,EQ,2017-07-24,136.65,137.0,139.5,136.1,138.65,138.45,137.91,3235654,446222507.9,14630,731313,22.6,7,2017,123.66179046670621,0.013172338090010838,Slight or No change
JINDALSTEL,EQ,2017-07-25,138.45,138.5,140.9,137.55,140.8,139.95,139.04,4173516,580278414.65,20836,1323945,31.72,7,2017,123.8166929769704,0.010834236186348933,Slight or No change
JINDALSTEL,EQ,2017-07-26,139.95,140.65,152.45,140.55,151.15,151.7,148.05,24374014,3608685556.3,110632,3949419,16.2,7,2017,125.28385962341247,0.08395855662736684,Slight or No change
